X0,WTS-13,WTS-14
2012-11-20 00:00:05,14.880000000000001,10.25
2012-11-20 00:00:15,14.880000000000001,10.25
2012-11-20 00:00:25,14.880000000000001,10.25
2012-11-20 00:00:35,14.880000000000001,10.25
2012-11-20 00:00:45,14.81,10.25
2012-11-20 00:00:55,14.880000000000001,10.25
2012-11-20 00:01:05,14.880000000000001,10.25
2012-11-20 00:01:15,14.81,10.25
2012-11-20 00:01:25,14.880000000000001,10.25
2012-11-20 00:01:35,14.880000000000001,10.25
2012-11-20 00:01:45,14.880000000000001,10.25
2012-11-20 00:01:55,14.81,10.19
2012-11-20 00:02:05,14.880000000000001,10.19
2012-11-20 00:02:16,14.880000000000001,10.25
2012-11-20 00:02:26,14.81,10.19
2012-11-20 00:02:36,14.880000000000001,10.25
2012-11-20 00:02:46,14.81,10.25
2012-11-20 00:02:56,14.880000000000001,10.25
2012-11-20 00:03:06,14.81,10.19
2012-11-20 00:03:16,14.880000000000001,10.25
2012-11-20 00:03:26,14.880000000000001,10.25
2012-11-20 00:03:36,14.880000000000001,10.19
2012-11-20 00:03:46,14.880000000000001,10.25
2012-11-20 00:03:56,14.880000000000001,10.19
2012-11-20 00:04:06,14.880000000000001,10.19
2012-11-20 00:04:16,14.81,10.19
2012-11-20 00:04:26,14.880000000000001,10.25
2012-11-20 00:04:36,14.81,10.19
2012-11-20 00:04:46,14.81,10.25
2012-11-20 00:04:56,14.880000000000001,10.25
2012-11-20 00:05:06,14.880000000000001,10.19
2012-11-20 00:05:16,14.880000000000001,10.25
2012-11-20 00:05:26,14.81,10.19
2012-11-20 00:05:36,14.81,10.25
2012-11-20 00:05:46,14.880000000000001,10.19
2012-11-20 00:05:56,14.880000000000001,10.19
2012-11-20 00:06:06,14.81,10.25
2012-11-20 00:06:16,14.880000000000001,10.25
2012-11-20 00:06:26,14.880000000000001,10.19
2012-11-20 00:06:36,14.880000000000001,10.25
2012-11-20 00:06:46,14.880000000000001,10.25
2012-11-20 00:06:56,14.880000000000001,10.25
2012-11-20 00:07:06,14.81,10.19
2012-11-20 00:07:16,14.880000000000001,10.19
2012-11-20 00:07:26,14.880000000000001,10.25
2012-11-20 00:07:36,14.81,10.25
2012-11-20 00:07:46,14.880000000000001,10.25
2012-11-20 00:07:56,14.81,10.19
2012-11-20 00:08:06,14.81,10.25
2012-11-20 00:08:16,14.81,10.19
2012-11-20 00:08:26,14.81,10.19
2012-11-20 00:08:36,14.880000000000001,10.19
2012-11-20 00:08:46,14.81,10.19
2012-11-20 00:08:56,14.880000000000001,10.19
2012-11-20 00:09:06,14.81,10.19
2012-11-20 00:09:16,14.880000000000001,10.25
2012-11-20 00:09:26,14.880000000000001,10.19
2012-11-20 00:09:36,14.880000000000001,10.19
2012-11-20 00:09:46,14.81,10.19
2012-11-20 00:09:56,14.81,10.19
2012-11-20 00:10:06,14.880000000000001,10.19
2012-11-20 00:10:16,14.880000000000001,10.19
2012-11-20 00:10:26,14.880000000000001,10.25
2012-11-20 00:10:36,14.880000000000001,10.19
2012-11-20 00:10:46,14.880000000000001,10.19
2012-11-20 00:10:56,14.880000000000001,10.19
2012-11-20 00:11:06,14.880000000000001,10.19
2012-11-20 00:11:16,14.880000000000001,10.19
2012-11-20 00:11:26,14.880000000000001,10.19
2012-11-20 00:11:36,14.81,10.25
