ClaytonDiagramAbbrev,TypeForCubeVis,Type,StoreFilename,Channel,UnitOfMeasurement,EquipRef,Group,ChengLabel,Sensor,Type,SubSensor,MeasurePoint,ConnectedBoard,NodeID,Dashboard Label,CondensedDashboardLabel,
PM-21,pm21,Power Meter,Airbox21.txt,3,W,AB-1,Airbox1&2,Airbox21 Watts,Airbox1 controller,Airbox controller,Consuming Power,Consuming Power for Airbox1,Telosb21,21,PM-21 Consuming Power For Airbox1,PM-21 Consuming Power For Airbox1,x
PM-22,pm22,Power Meter,Airbox22.txt,3,W,AB-2,Airbox1&2,Airbox22 Watts,Airbox2 controller,Airbox controller,Consuming Power,Consuming Power for Airbox2,Telosb22,22,PM-22 Consuming Power For Airbox2,PM-22 Consuming Power For Airbox2,
WFM-21,wfm21,Water Flowrate Meter,Flowrate12.txt,1,mL/s,WP-21,Airbox1&2,FlowRate12 Flowrate Ch 1,F2Ch1,Remag vision 2000 flow sensor,NA,water flowrate for Airbox1,PumpBoard2,12,WFM-21 Water Flowrate For Airbox1,WFM-21 Water Flowrate For Airbox1,x
WFM-22,wfm22,Water Flowrate Meter,Flowrate12.txt,2,mL/s,WP-22,Airbox1&2,FlowRate12 Flowrate Ch 2,F2Ch2,Remag vision 2000 flow sensor,NA,water flowrate for Airbox2,PumpBoard2,12,WFM-22 Water Flowrate For Airbox2,WFM-22 Water Flowrate For Airbox2,
WTS-21,wts21,Water Temp. Sensor,Temperature2.txt,5,DegC,WP-21,Airbox1&2,Temperature2 Ch ,T2CH5,ADT7410 temperature sensor,NA,return water Temp for Airbox1,TempBoard2,2,WTS-21 Return Water Temp For Airbox1,WTS-21 Return Water Temp For Airbox1,x
WTS-22,wts22,Water Temp. Sensor,Temperature2.txt,6,DegC,WP-22,Airbox1&2,Temperature2 Ch 6,T2CH6,ADT7410 temperature sensor,NA,return water Temp for Airbox2,TempBoard2,2,WTS-22 Return Water Temp For Airbox2,WTS-22 Return Water Temp For Airbox2,
WTS-25,wts25,Water Temp. Sensor,Temperature2.txt,9,DegC,WP-21,Airbox1&2,Temperature2 Ch 9,T2CH9,ADT7410 temperature sensor,NA,supply water Temp for Airbox1,TempBoard2,2,WTS-25 Supply Water Temp For Airbox1,WTS-25 Supply Water Temp For Airbox1,x
WTS-26,wts26,Water Temp. Sensor,Temperature2.txt,10,DegC,WP-22,Airbox1&2,Temperature2 Ch 10,T2CH10,ADT7410 temperature sensor,NA,supply water Temp for Airbox2,TempBoard2,2,WTS-26 Supply Water Temp For Airbox2,WTS-26 Supply Water Temp For Airbox2,
WTS-29,wts29,Water Temp. Sensor,Temperature2.txt,13,DegC,AB-1,Airbox1&2,Temperature2 Ch 13,T2CH13,ADT7410 temperature sensor,NA,return water Temp for Airbox1 (near Airbox),TempBoard2,2,WTS-29 Return Water Temp For Airbox1 (Near Airbox),WTS-29 Return Water Temp For Airbox1 (Near Airbox),x
WTS-30,wts30,Water Temp. Sensor,Temperature2.txt,14,DegC,AB-1,Airbox1&2,Temperature2 Ch 14,T2CH14,ADT7410 temperature sensor,NA,supply water Temp for Airbox1 (near Airbox),TempBoard2,2,WTS-30 Supply Water Temp For Airbox1 (Near Airbox),WTS-30 Supply Water Temp For Airbox1 (Near Airbox),x
