ClaytonDiagramAbbrev,TypeForCubeVis,Type,StoreFilename,Channel,UnitOfMeasurement,EquipRef,Group,ChengLabel,Sensor,Type,SubSensor,MeasurePoint,ConnectedBoard,NodeID,Dashboard Label,CondensedDashboardLabel,
AHS-45,ahs45,Air Rel. Humidity Sensor,Telosb45.txt,2,%RH,None,Panels,Telosb45 Ch 2,Telosb45,Sensirion Sht11 sensor,Humidity,Indoor air humidity at Telosb45,Telosb45,45,AHS-45 Indoor Air Humidity At Telosb45,AHS-45 Indoor Air Humidity,x
AHS-46,ahs46,Air Rel. Humidity Sensor,Telosb46.txt,2,%RH,None,Panels,Telosb46 Ch 2,Telosb46,Sensirion Sht11 sensor,Humidity,Indoor air humidity at Telosb46,Telosb46,46,AHS-46 Indoor Air Humidity At Telosb46,AHS-46 Indoor Air Humidity,x
AHS-47,ahs47,Air Rel. Humidity Sensor,Telosb47.txt,2,%RH,None,Panels,Telosb47 Ch 2,Telosb47,Sensirion Sht11 sensor,Humidity,Indoor air humidity at Telosb47,Telosb47,47,AHS-47 Indoor Air Humidity At Telosb47,AHS-47 Indoor Air Humidity,x
AHS-48,ahs48,Air Rel. Humidity Sensor,Telosb48.txt,2,%RH,None,Panels,Telosb48 Ch 2,Telosb48,Sensirion Sht11 sensor,Humidity,Indoor air humidity at Telosb48,Telosb48,48,AHS-48 Indoor Air Humidity At Telosb48,AHS-48 Indoor Air Humidity,x
ATS-41,ats41,Air Temp. Sensor,Telosb41.txt,1,DegC,None,Panels,Telosb41 Ch 1,Telosb41,Sensirion Sht11 sensor,Temp,Indoor air Temp at Telosb41,Telosb41,41,ATS-41 Indoor Air Temp At Telosb41,ATS-41 Indoor Air Temp,x
ATS-42,ats42,Air Temp. Sensor,Telosb42.txt,1,DegC,None,Panels,Telosb42 Ch 1,Telosb42,Sensirion Sht11 sensor,Temp,Indoor air Temp at Telosb42,Telosb42,42,ATS-42 Indoor Air Temp At Telosb42,ATS-42 Indoor Air Temp,x
ATS-43,ats43,Air Temp. Sensor,Telosb43.txt,1,DegC,None,Panels,Telosb43 Ch 1,Telosb43,Sensirion Sht11 sensor,Temp,Indoor air Temp at Telosb43,Telosb43,43,ATS-43 Indoor Air Temp At Telosb43,ATS-43 Indoor Air Temp,x
ATS-44,ats44,Air Temp. Sensor,Telosb44.txt,1,DegC,None,Panels,Telosb44 Ch 1,Telosb44,Sensirion Sht11 sensor,Temp,Indoor air  Temp at Telosb44,Telosb44,44,ATS-44 Indoor Air  Temp At Telosb44,ATS-44 Indoor Air  Temp,x
ATS-45,ats45,Air Temp. Sensor,Telosb45.txt,1,DegC,None,Panels,Telosb45 Ch 1,Telosb45,Sensirion Sht11 sensor,Temp,Indoor air  Temp at Telosb45,Telosb45,45,ATS-45 Indoor Air  Temp At Telosb45,ATS-45 Indoor Air  Temp,x
ATS-46,ats46,Air Temp. Sensor,Telosb46.txt,1,DegC,None,Panels,Telosb46 Ch 1,Telosb46,Sensirion Sht11 sensor,Temp,Indoor air Temp at Telosb46,Telosb46,46,ATS-46 Indoor Air Temp At Telosb46,ATS-46 Indoor Air Temp,x
ATS-47,ats47,Air Temp. Sensor,Telosb47.txt,1,DegC,None,Panels,Telosb47 Ch 1,Telosb47,Sensirion Sht11 sensor,Temp,Indoor air Temp at Telosb47,Telosb47,47,ATS-47 Indoor Air Temp At Telosb47,ATS-47 Indoor Air Temp,x
ATS-48,ats48,Air Temp. Sensor,Telosb48.txt,1,DegC,None,Panels,Telosb48 Ch 1,Telosb48,Sensirion Sht11 sensor,Temp,Indoor air Temp at Telosb48,Telosb48,48,ATS-48 Indoor Air Temp At Telosb48,ATS-48 Indoor Air Temp,x
ATS-51,ats51,Air Temp. Sensor,CO2flap31.txt,1,DegC,None,Panels,CO2flap31 Temp,CO2flap31,CO2 flap,Inside Temp,Inside Temp of CO2 flap1,Telosb31,31,ATS-51 Inside Temp Of Co2 Flap1,ATS-51 Inside Temp CO2 Flap1,x
ATS-52,ats52,Air Temp. Sensor,CO2flap32.txt,1,DegC,None,Panels,CO2flap32 Temp,CO2flap32,CO2 flap,Inside Temp,Inside Temp of CO2 flap2,Telosb32,32,ATS-52 Inside Temp Of Co2 Flap2,ATS-52 Inside Temp CO2 Flap2,x
ATS-53,ats53,Air Temp. Sensor,CO2flap33.txt,1,DegC,None,Panels,CO2flap33 Temp,CO2flap33,CO2 flap,Inside Temp,Inside Temp of CO2 flap3,Telosb33,33,ATS-53 Inside Temp Of Co2 Flap3,ATS-53 Inside Temp CO2 Flap3,x
ATS-54,ats54,Air Temp. Sensor,CO2flap34.txt,1,DegC,None,Panels,CO2flap34 Temp,CO2flap34,CO2 flap,Inside Temp,Inside Temp of CO2 flap4,Telosb34,34,ATS-54 Inside Temp Of Co2 Flap4,ATS-54 Inside Temp CO2 Flap4,x
WFM-11,wfm11,Water Flowrate Meter,Flowrate11.txt,1,mL/s,WP-11,Panels,FlowRate11 Flowrate Ch 1,F1CH1,Remag vision 2000 flow sensor,NA,cold water flow-rate for ceiling Panel1,PumpBoard1,11,WFM-11 Cold Water Flow-Rate For Ceiling Panel1,WFM-11 Cold Water Flow-Rate For Ceiling Panel1,
WFM-12,wfm12,Water Flowrate Meter,Flowrate11.txt,2,mL/s,WP-12,Panels,FlowRate11 Flowrate Ch 2,F1CH2,Remag vision 2000 flow sensor,NA,returned water flow-rate for ceiling Panel1,PumpBoard1,11,WFM-12 Returned Water Flow-Rate For Ceiling Panel1,WFM-12 Returned Water Flow-Rate For Ceiling Panel1,
WFM-13,wfm13,Water Flowrate Meter,Flowrate11.txt,3,mL/s,WP-13,Panels,FlowRate11 Flowrate Ch 3,F1CH3,Remag vision 2000 flow sensor,NA,cold water flow-rate for ceiling Panel2,PumpBoard1,11,WFM-13 Cold Water Flow-Rate For Ceiling Panel2,WFM-13 Cold Water Flow-Rate For Ceiling Panel2,
WFM-14,wfm14,Water Flowrate Meter,Flowrate11.txt,4,mL/s,WP-14,Panels,FlowRate11 Flowrate Ch 4,F1CH4,Remag vision 2000 flow sensor,NA,returned water flow-rate for ceiling Panel2,PumpBoard1,11,WFM-14 Returned Water Flow-Rate For Ceiling Panel2,WFM-14 Returned Water Flow-Rate For Ceiling Panel2,
WTS-11,wts11,Water Temp. Sensor,Temperature2.txt,1,DegC,WP-11,Panels,Temperature2 Ch 1,T2CH1,ADT7410 temperature sensor,NA,supply water Temp for ceiling Pannel1,TempBoard2,2,WTS-11 Supply Water Temp For Ceiling Pannel1,WTS-11 Supply Water Temp For Ceiling Pannel1,
WTS-12,wts12,Water Temp. Sensor,Temperature2.txt,2,DegC,WP-12,Panels,Temperature2 Ch 2,T2CH2,ADT7410 temperature sensor,NA,return water Temp for ceiling Pannel1,TempBoard2,2,WTS-12 Return Water Temp For Ceiling Pannel1,WTS-12 Return Water Temp For Ceiling Pannel1,
WTS-13,wts13,Water Temp. Sensor,Temperature2.txt,3,DegC,WP-13,Panels,Temperature2 Ch 3,T2CH3,ADT7410 temperature sensor,NA,supply water Temp for ceiling Pannel2,TempBoard2,2,WTS-13 Supply Water Temp For Ceiling Pannel2,WTS-13 Supply Water Temp For Ceiling Pannel2,
WTS-14,wts14,Water Temp. Sensor,Temperature2.txt,4,DegC,WP-14,Panels,Temperature2 Ch 4,T2CH4,ADT7410 temperature sensor,NA,return water Temp for ceiling Pannel2,TempBoard2,2,WTS-14 Return Water Temp For Ceiling Pannel2,WTS-14 Return Water Temp For Ceiling Pannel2,
